country,date,accumulated_confirmed,increase_of_confirmed
Afghanistan,2020-01-22,0,0.0
Afghanistan,2020-01-23,0,0.0
Afghanistan,2020-01-24,0,0.0
Afghanistan,2020-01-25,0,0.0
Afghanistan,2020-01-26,0,0.0
Afghanistan,2020-01-27,0,0.0
Afghanistan,2020-01-28,0,0.0
Afghanistan,2020-01-29,0,0.0
Afghanistan,2020-01-30,0,0.0
Afghanistan,2020-01-31,0,0.0
Afghanistan,2020-02-01,0,0.0
Afghanistan,2020-02-02,0,0.0
Afghanistan,2020-02-03,0,0.0
Afghanistan,2020-02-04,0,0.0
Afghanistan,2020-02-05,0,0.0
Afghanistan,2020-02-06,0,0.0
Afghanistan,2020-02-07,0,0.0
Afghanistan,2020-02-08,0,0.0
Afghanistan,2020-02-09,0,0.0
Afghanistan,2020-02-10,0,0.0
Afghanistan,2020-02-11,0,0.0
Afghanistan,2020-02-12,0,0.0
Afghanistan,2020-02-13,0,0.0
Afghanistan,2020-02-14,0,0.0
Afghanistan,2020-02-15,0,0.0
Afghanistan,2020-02-16,0,0.0
Afghanistan,2020-02-17,0,0.0
Afghanistan,2020-02-18,0,0.0
Afghanistan,2020-02-19,0,0.0
Afghanistan,2020-02-20,0,0.0
Afghanistan,2020-02-21,0,0.0
Afghanistan,2020-02-22,0,0.0
Afghanistan,2020-02-23,0,0.0
Afghanistan,2020-02-24,1,1.0
Afghanistan,2020-02-25,1,0.0
Afghanistan,2020-02-26,1,0.0
Afghanistan,2020-02-27,1,0.0
Afghanistan,2020-02-28,1,0.0
Afghanistan,2020-02-29,1,0.0
Afghanistan,2020-03-01,1,0.0
Afghanistan,2020-03-02,1,0.0
Afghanistan,2020-03-03,1,0.0
Afghanistan,2020-03-04,1,0.0
Afghanistan,2020-03-05,1,0.0
Afghanistan,2020-03-06,1,0.0
Afghanistan,2020-03-07,1,0.0
Afghanistan,2020-03-08,4,3.0
Afghanistan,2020-03-09,4,0.0
Afghanistan,2020-03-10,5,1.0
Afghanistan,2020-03-11,7,2.0
Afghanistan,2020-03-12,7,0.0
Afghanistan,2020-03-13,7,0.0
Afghanistan,2020-03-14,11,4.0
Afghanistan,2020-03-15,16,5.0
Afghanistan,2020-03-16,21,5.0
Afghanistan,2020-03-17,22,1.0
Afghanistan,2020-03-18,22,0.0
Afghanistan,2020-03-19,22,0.0
Afghanistan,2020-03-20,24,2.0
Afghanistan,2020-03-21,24,0.0
Afghanistan,2020-03-22,40,16.0
Afghanistan,2020-03-23,40,0.0
Afghanistan,2020-03-24,74,34.0
Afghanistan,2020-03-25,84,10.0
Afghanistan,2020-03-26,94,10.0
Afghanistan,2020-03-27,110,16.0
Albania,2020-01-22,0,0.0
Albania,2020-01-23,0,0.0
Albania,2020-01-24,0,0.0
Albania,2020-01-25,0,0.0
Albania,2020-01-26,0,0.0
Albania,2020-01-27,0,0.0
Albania,2020-01-28,0,0.0
Albania,2020-01-29,0,0.0
Albania,2020-01-30,0,0.0
Albania,2020-01-31,0,0.0
Albania,2020-02-01,0,0.0
Albania,2020-02-02,0,0.0
Albania,2020-02-03,0,0.0
Albania,2020-02-04,0,0.0
Albania,2020-02-05,0,0.0
Albania,2020-02-06,0,0.0
Albania,2020-02-07,0,0.0
Albania,2020-02-08,0,0.0
Albania,2020-02-09,0,0.0
Albania,2020-02-10,0,0.0
Albania,2020-02-11,0,0.0
Albania,2020-02-12,0,0.0
Albania,2020-02-13,0,0.0
Albania,2020-02-14,0,0.0
Albania,2020-02-15,0,0.0
Albania,2020-02-16,0,0.0
Albania,2020-02-17,0,0.0
Albania,2020-02-18,0,0.0
Albania,2020-02-19,0,0.0
Albania,2020-02-20,0,0.0
Albania,2020-02-21,0,0.0
Albania,2020-02-22,0,0.0
Albania,2020-02-23,0,0.0
Albania,2020-02-24,0,0.0
Albania,2020-02-25,0,0.0
Albania,2020-02-26,0,0.0
Albania,2020-02-27,0,0.0
Albania,2020-02-28,0,0.0
Albania,2020-02-29,0,0.0
Albania,2020-03-01,0,0.0
Albania,2020-03-02,0,0.0
Albania,2020-03-03,0,0.0
Albania,2020-03-04,0,0.0
Albania,2020-03-05,0,0.0
Albania,2020-03-06,0,0.0
Albania,2020-03-07,0,0.0
Albania,2020-03-08,0,0.0
Albania,2020-03-09,2,2.0
Albania,2020-03-10,10,8.0
Albania,2020-03-11,12,2.0
Albania,2020-03-12,23,11.0
Albania,2020-03-13,33,10.0
Albania,2020-03-14,38,5.0
Albania,2020-03-15,42,4.0
Albania,2020-03-16,51,9.0
Albania,2020-03-17,55,4.0
Albania,2020-03-18,59,4.0
Albania,2020-03-19,64,5.0
Albania,2020-03-20,70,6.0
Albania,2020-03-21,76,6.0
Albania,2020-03-22,89,13.0
Albania,2020-03-23,104,15.0
Albania,2020-03-24,123,19.0
Albania,2020-03-25,146,23.0
Albania,2020-03-26,174,28.0
Albania,2020-03-27,186,12.0
Algeria,2020-01-22,0,0.0
Algeria,2020-01-23,0,0.0
Algeria,2020-01-24,0,0.0
Algeria,2020-01-25,0,0.0
Algeria,2020-01-26,0,0.0
Algeria,2020-01-27,0,0.0
Algeria,2020-01-28,0,0.0
Algeria,2020-01-29,0,0.0
Algeria,2020-01-30,0,0.0
Algeria,2020-01-31,0,0.0
Algeria,2020-02-01,0,0.0
Algeria,2020-02-02,0,0.0
Algeria,2020-02-03,0,0.0
Algeria,2020-02-04,0,0.0
Algeria,2020-02-05,0,0.0
Algeria,2020-02-06,0,0.0
Algeria,2020-02-07,0,0.0
Algeria,2020-02-08,0,0.0
Algeria,2020-02-09,0,0.0
Algeria,2020-02-10,0,0.0
Algeria,2020-02-11,0,0.0
Algeria,2020-02-12,0,0.0
Algeria,2020-02-13,0,0.0
Algeria,2020-02-14,0,0.0
Algeria,2020-02-15,0,0.0
Algeria,2020-02-16,0,0.0
Algeria,2020-02-17,0,0.0
Algeria,2020-02-18,0,0.0
Algeria,2020-02-19,0,0.0
Algeria,2020-02-20,0,0.0
Algeria,2020-02-21,0,0.0
Algeria,2020-02-22,0,0.0
Algeria,2020-02-23,0,0.0
Algeria,2020-02-24,0,0.0
Algeria,2020-02-25,1,1.0
Algeria,2020-02-26,1,0.0
Algeria,2020-02-27,1,0.0
Algeria,2020-02-28,1,0.0
Algeria,2020-02-29,1,0.0
Algeria,2020-03-01,1,0.0
Algeria,2020-03-02,3,2.0
Algeria,2020-03-03,5,2.0
Algeria,2020-03-04,12,7.0
Algeria,2020-03-05,12,0.0
Algeria,2020-03-06,17,5.0
Algeria,2020-03-07,17,0.0
Algeria,2020-03-08,19,2.0
Algeria,2020-03-09,20,1.0
Algeria,2020-03-10,20,0.0
Algeria,2020-03-11,20,0.0
Algeria,2020-03-12,24,4.0
Algeria,2020-03-13,26,2.0
Algeria,2020-03-14,37,11.0
Algeria,2020-03-15,48,11.0
Algeria,2020-03-16,54,6.0
Algeria,2020-03-17,60,6.0
Algeria,2020-03-18,74,14.0
Algeria,2020-03-19,87,13.0
Algeria,2020-03-20,90,3.0
Algeria,2020-03-21,139,49.0
Algeria,2020-03-22,201,62.0
Algeria,2020-03-23,230,29.0
Algeria,2020-03-24,264,34.0
Algeria,2020-03-25,302,38.0
Algeria,2020-03-26,367,65.0
Algeria,2020-03-27,409,42.0
Andorra,2020-01-22,0,0.0
Andorra,2020-01-23,0,0.0
Andorra,2020-01-24,0,0.0
Andorra,2020-01-25,0,0.0
Andorra,2020-01-26,0,0.0
Andorra,2020-01-27,0,0.0
Andorra,2020-01-28,0,0.0
Andorra,2020-01-29,0,0.0
Andorra,2020-01-30,0,0.0
Andorra,2020-01-31,0,0.0
Andorra,2020-02-01,0,0.0
Andorra,2020-02-02,0,0.0
Andorra,2020-02-03,0,0.0
Andorra,2020-02-04,0,0.0
Andorra,2020-02-05,0,0.0
Andorra,2020-02-06,0,0.0
Andorra,2020-02-07,0,0.0
Andorra,2020-02-08,0,0.0
Andorra,2020-02-09,0,0.0
Andorra,2020-02-10,0,0.0
Andorra,2020-02-11,0,0.0
Andorra,2020-02-12,0,0.0
Andorra,2020-02-13,0,0.0
Andorra,2020-02-14,0,0.0
Andorra,2020-02-15,0,0.0
Andorra,2020-02-16,0,0.0
Andorra,2020-02-17,0,0.0
Andorra,2020-02-18,0,0.0
Andorra,2020-02-19,0,0.0
Andorra,2020-02-20,0,0.0
Andorra,2020-02-21,0,0.0
Andorra,2020-02-22,0,0.0
Andorra,2020-02-23,0,0.0
Andorra,2020-02-24,0,0.0
Andorra,2020-02-25,0,0.0
Andorra,2020-02-26,0,0.0
Andorra,2020-02-27,0,0.0
Andorra,2020-02-28,0,0.0
Andorra,2020-02-29,0,0.0
Andorra,2020-03-01,0,0.0
Andorra,2020-03-02,1,1.0
Andorra,2020-03-03,1,0.0
Andorra,2020-03-04,1,0.0
Andorra,2020-03-05,1,0.0
Andorra,2020-03-06,1,0.0
Andorra,2020-03-07,1,0.0
Andorra,2020-03-08,1,0.0
Andorra,2020-03-09,1,0.0
Andorra,2020-03-10,1,0.0
Andorra,2020-03-11,1,0.0
Andorra,2020-03-12,1,0.0
Andorra,2020-03-13,1,0.0
Andorra,2020-03-14,1,0.0
Andorra,2020-03-15,1,0.0
Andorra,2020-03-16,2,1.0
Andorra,2020-03-17,39,37.0
Andorra,2020-03-18,39,0.0
Andorra,2020-03-19,53,14.0
Andorra,2020-03-20,75,22.0
Andorra,2020-03-21,88,13.0
Andorra,2020-03-22,113,25.0
Andorra,2020-03-23,133,20.0
Andorra,2020-03-24,164,31.0
Andorra,2020-03-25,188,24.0
Andorra,2020-03-26,224,36.0
Andorra,2020-03-27,267,43.0
Angola,2020-01-22,0,0.0
