country,date,accumulated_confirmed,increase_of_confirmed
Afghanistan,2020-01-22,0,0.0
Afghanistan,2020-01-23,0,0.0
Afghanistan,2020-01-24,0,0.0
Afghanistan,2020-01-25,0,0.0
Afghanistan,2020-01-26,0,0.0
Afghanistan,2020-01-27,0,0.0
Afghanistan,2020-01-28,0,0.0
Afghanistan,2020-01-29,0,0.0
Afghanistan,2020-01-30,0,0.0
Afghanistan,2020-01-31,0,0.0
Afghanistan,2020-02-01,0,0.0
Afghanistan,2020-02-02,0,0.0
Afghanistan,2020-02-03,0,0.0
Afghanistan,2020-02-04,0,0.0
Afghanistan,2020-02-05,0,0.0
Afghanistan,2020-02-06,0,0.0
Afghanistan,2020-02-07,0,0.0
Afghanistan,2020-02-08,0,0.0
Afghanistan,2020-02-09,0,0.0
Afghanistan,2020-02-10,0,0.0
Afghanistan,2020-02-11,0,0.0
Afghanistan,2020-02-12,0,0.0
Afghanistan,2020-02-13,0,0.0
Afghanistan,2020-02-14,0,0.0
Afghanistan,2020-02-15,0,0.0
Afghanistan,2020-02-16,0,0.0
Afghanistan,2020-02-17,0,0.0
Afghanistan,2020-02-18,0,0.0
Afghanistan,2020-02-19,0,0.0
Afghanistan,2020-02-20,0,0.0
Afghanistan,2020-02-21,0,0.0
Afghanistan,2020-02-22,0,0.0
Afghanistan,2020-02-23,0,0.0
Afghanistan,2020-02-24,0,0.0
Afghanistan,2020-02-25,0,0.0
Afghanistan,2020-02-26,0,0.0
Afghanistan,2020-02-27,0,0.0
Afghanistan,2020-02-28,0,0.0
Afghanistan,2020-02-29,0,0.0
Afghanistan,2020-03-01,0,0.0
Afghanistan,2020-03-02,0,0.0
Afghanistan,2020-03-03,0,0.0
Afghanistan,2020-03-04,0,0.0
Afghanistan,2020-03-05,0,0.0
Afghanistan,2020-03-06,0,0.0
Afghanistan,2020-03-07,0,0.0
Afghanistan,2020-03-08,0,0.0
Afghanistan,2020-03-09,0,0.0
Afghanistan,2020-03-10,0,0.0
Afghanistan,2020-03-11,0,0.0
Afghanistan,2020-03-12,0,0.0
Afghanistan,2020-03-13,0,0.0
Afghanistan,2020-03-14,0,0.0
Afghanistan,2020-03-15,0,0.0
Afghanistan,2020-03-16,0,0.0
Afghanistan,2020-03-17,0,0.0
Afghanistan,2020-03-18,0,0.0
Afghanistan,2020-03-19,0,0.0
Afghanistan,2020-03-20,0,0.0
Afghanistan,2020-03-21,0,0.0
Afghanistan,2020-03-22,1,1.0
Afghanistan,2020-03-23,1,0.0
Afghanistan,2020-03-24,1,0.0
Afghanistan,2020-03-25,2,1.0
Afghanistan,2020-03-26,4,2.0
Afghanistan,2020-03-27,4,0.0
Albania,2020-01-22,0,0.0
Albania,2020-01-23,0,0.0
Albania,2020-01-24,0,0.0
Albania,2020-01-25,0,0.0
Albania,2020-01-26,0,0.0
Albania,2020-01-27,0,0.0
Albania,2020-01-28,0,0.0
Albania,2020-01-29,0,0.0
Albania,2020-01-30,0,0.0
Albania,2020-01-31,0,0.0
Albania,2020-02-01,0,0.0
Albania,2020-02-02,0,0.0
Albania,2020-02-03,0,0.0
Albania,2020-02-04,0,0.0
Albania,2020-02-05,0,0.0
Albania,2020-02-06,0,0.0
Albania,2020-02-07,0,0.0
Albania,2020-02-08,0,0.0
Albania,2020-02-09,0,0.0
Albania,2020-02-10,0,0.0
Albania,2020-02-11,0,0.0
Albania,2020-02-12,0,0.0
Albania,2020-02-13,0,0.0
Albania,2020-02-14,0,0.0
Albania,2020-02-15,0,0.0
Albania,2020-02-16,0,0.0
Albania,2020-02-17,0,0.0
Albania,2020-02-18,0,0.0
Albania,2020-02-19,0,0.0
Albania,2020-02-20,0,0.0
Albania,2020-02-21,0,0.0
Albania,2020-02-22,0,0.0
Albania,2020-02-23,0,0.0
Albania,2020-02-24,0,0.0
Albania,2020-02-25,0,0.0
Albania,2020-02-26,0,0.0
Albania,2020-02-27,0,0.0
Albania,2020-02-28,0,0.0
Albania,2020-02-29,0,0.0
Albania,2020-03-01,0,0.0
Albania,2020-03-02,0,0.0
Albania,2020-03-03,0,0.0
Albania,2020-03-04,0,0.0
Albania,2020-03-05,0,0.0
Albania,2020-03-06,0,0.0
Albania,2020-03-07,0,0.0
Albania,2020-03-08,0,0.0
Albania,2020-03-09,0,0.0
Albania,2020-03-10,0,0.0
Albania,2020-03-11,1,1.0
Albania,2020-03-12,1,0.0
Albania,2020-03-13,1,0.0
Albania,2020-03-14,1,0.0
Albania,2020-03-15,1,0.0
Albania,2020-03-16,1,0.0
Albania,2020-03-17,1,0.0
Albania,2020-03-18,2,1.0
Albania,2020-03-19,2,0.0
Albania,2020-03-20,2,0.0
Albania,2020-03-21,2,0.0
Albania,2020-03-22,2,0.0
Albania,2020-03-23,4,2.0
Albania,2020-03-24,5,1.0
Albania,2020-03-25,5,0.0
Albania,2020-03-26,6,1.0
Albania,2020-03-27,8,2.0
Algeria,2020-01-22,0,0.0
Algeria,2020-01-23,0,0.0
Algeria,2020-01-24,0,0.0
Algeria,2020-01-25,0,0.0
Algeria,2020-01-26,0,0.0
Algeria,2020-01-27,0,0.0
Algeria,2020-01-28,0,0.0
Algeria,2020-01-29,0,0.0
Algeria,2020-01-30,0,0.0
Algeria,2020-01-31,0,0.0
Algeria,2020-02-01,0,0.0
Algeria,2020-02-02,0,0.0
Algeria,2020-02-03,0,0.0
Algeria,2020-02-04,0,0.0
Algeria,2020-02-05,0,0.0
Algeria,2020-02-06,0,0.0
Algeria,2020-02-07,0,0.0
Algeria,2020-02-08,0,0.0
Algeria,2020-02-09,0,0.0
Algeria,2020-02-10,0,0.0
Algeria,2020-02-11,0,0.0
Algeria,2020-02-12,0,0.0
Algeria,2020-02-13,0,0.0
Algeria,2020-02-14,0,0.0
Algeria,2020-02-15,0,0.0
Algeria,2020-02-16,0,0.0
Algeria,2020-02-17,0,0.0
Algeria,2020-02-18,0,0.0
Algeria,2020-02-19,0,0.0
Algeria,2020-02-20,0,0.0
Algeria,2020-02-21,0,0.0
Algeria,2020-02-22,0,0.0
Algeria,2020-02-23,0,0.0
Algeria,2020-02-24,0,0.0
Algeria,2020-02-25,0,0.0
Algeria,2020-02-26,0,0.0
Algeria,2020-02-27,0,0.0
Algeria,2020-02-28,0,0.0
Algeria,2020-02-29,0,0.0
Algeria,2020-03-01,0,0.0
Algeria,2020-03-02,0,0.0
Algeria,2020-03-03,0,0.0
Algeria,2020-03-04,0,0.0
Algeria,2020-03-05,0,0.0
Algeria,2020-03-06,0,0.0
Algeria,2020-03-07,0,0.0
Algeria,2020-03-08,0,0.0
Algeria,2020-03-09,0,0.0
Algeria,2020-03-10,0,0.0
Algeria,2020-03-11,0,0.0
Algeria,2020-03-12,1,1.0
Algeria,2020-03-13,2,1.0
Algeria,2020-03-14,3,1.0
Algeria,2020-03-15,4,1.0
Algeria,2020-03-16,4,0.0
Algeria,2020-03-17,4,0.0
Algeria,2020-03-18,7,3.0
Algeria,2020-03-19,9,2.0
Algeria,2020-03-20,11,2.0
Algeria,2020-03-21,15,4.0
Algeria,2020-03-22,17,2.0
Algeria,2020-03-23,17,0.0
Algeria,2020-03-24,19,2.0
Algeria,2020-03-25,21,2.0
Algeria,2020-03-26,25,4.0
Algeria,2020-03-27,26,1.0
Andorra,2020-01-22,0,0.0
Andorra,2020-01-23,0,0.0
Andorra,2020-01-24,0,0.0
Andorra,2020-01-25,0,0.0
Andorra,2020-01-26,0,0.0
Andorra,2020-01-27,0,0.0
Andorra,2020-01-28,0,0.0
Andorra,2020-01-29,0,0.0
Andorra,2020-01-30,0,0.0
Andorra,2020-01-31,0,0.0
Andorra,2020-02-01,0,0.0
Andorra,2020-02-02,0,0.0
Andorra,2020-02-03,0,0.0
Andorra,2020-02-04,0,0.0
Andorra,2020-02-05,0,0.0
Andorra,2020-02-06,0,0.0
Andorra,2020-02-07,0,0.0
Andorra,2020-02-08,0,0.0
Andorra,2020-02-09,0,0.0
Andorra,2020-02-10,0,0.0
Andorra,2020-02-11,0,0.0
Andorra,2020-02-12,0,0.0
Andorra,2020-02-13,0,0.0
Andorra,2020-02-14,0,0.0
Andorra,2020-02-15,0,0.0
Andorra,2020-02-16,0,0.0
Andorra,2020-02-17,0,0.0
Andorra,2020-02-18,0,0.0
Andorra,2020-02-19,0,0.0
Andorra,2020-02-20,0,0.0
Andorra,2020-02-21,0,0.0
Andorra,2020-02-22,0,0.0
Andorra,2020-02-23,0,0.0
Andorra,2020-02-24,0,0.0
Andorra,2020-02-25,0,0.0
Andorra,2020-02-26,0,0.0
Andorra,2020-02-27,0,0.0
Andorra,2020-02-28,0,0.0
Andorra,2020-02-29,0,0.0
Andorra,2020-03-01,0,0.0
Andorra,2020-03-02,0,0.0
Andorra,2020-03-03,0,0.0
Andorra,2020-03-04,0,0.0
Andorra,2020-03-05,0,0.0
Andorra,2020-03-06,0,0.0
Andorra,2020-03-07,0,0.0
Andorra,2020-03-08,0,0.0
Andorra,2020-03-09,0,0.0
Andorra,2020-03-10,0,0.0
Andorra,2020-03-11,0,0.0
Andorra,2020-03-12,0,0.0
Andorra,2020-03-13,0,0.0
Andorra,2020-03-14,0,0.0
Andorra,2020-03-15,0,0.0
Andorra,2020-03-16,0,0.0
Andorra,2020-03-17,0,0.0
Andorra,2020-03-18,0,0.0
Andorra,2020-03-19,0,0.0
Andorra,2020-03-20,0,0.0
Andorra,2020-03-21,0,0.0
Andorra,2020-03-22,1,1.0
Andorra,2020-03-23,1,0.0
Andorra,2020-03-24,1,0.0
Andorra,2020-03-25,1,0.0
Andorra,2020-03-26,3,2.0
Andorra,2020-03-27,3,0.0
Angola,2020-01-22,0,0.0
